trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
41,False,"{'a': 0.22466448205861078, 'e': 0.2706705664732254}",20,0,-7.138617481144222,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
42,False,"{'a': 0.22021582725299962, 'e': 0.25746980717560836}",20,6,-4.808328940993728,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
43,False,"{'a': 0.21585526171453986, 'e': 0.2449128565059638}",25,14,7.682543651958311,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.2115810411588744, 'e': 0.23296831554699393}",20,6,24.04929245031747,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.2073914558407907, 'e': 0.22160631672466774}",25,0,-4.909453269474147,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
46,False,"{'a': 0.20328482987029955, 'e': 0.21079844912372867}",25,12,22.185335788816833,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.19925952054225707, 'e': 0.2005176874456074}",25,2,25.480372284849903,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.19531391767926054, 'e': 0.19073832443109923}",20,9,9.234358091150636,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.19144644298755603, 'e': 0.18143590657882494}",25,0,-7.081403160525298,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
50,False,"{'a': 0.18765554942569979, 'e': 0.172587172998741}",25,0,36.98295375669803,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.18393972058572117, 'e': 0.1641699972477976}",20,8,-63.55733700109024,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
52,False,"{'a': 0.18029747008653915, 'e': 0.15616333200230625}",35,19,30.725147516761872,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.17672734097939008, 'e': 0.14854715642866775}",20,6,-6.948730947956132,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
54,False,"{'a': 0.1732279051650287, 'e': 0.14130242612085914}",30,1,11.497260498376182,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 0}",1
55,False,"{'a': 0.16979776282246956, 'e': 0.1344110254794995}",20,6,15.288688792409896,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.16643554184903978, 'e': 0.12785572241341514}",25,11,17.658839886511945,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.16313989731151973, 'e': 0.1216201252504359}",20,0,22.61557873776335,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
58,False,"{'a': 0.15990951090815192, 'e': 0.11568864174967691}",30,4,-40.999213237733564,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 2}",1
